season,match_no,date,venue,team1,team2,winner,first_innings_score,second_innings_score,toss_winner,toss_decision,player_of_match
2022,1,2022-03-26,Wankhede Stadium,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,131.0,133.0,Kolkata Knight Riders,Field,Umesh Yadav
2022,2,2022-03-27,Brabourne Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,177.0,179.0,Delhi Capitals,Field,Kuldeep Yadav
2022,3,2022-03-27,Dr DY Patil Sports Academy,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,205.0,208.0,Punjab Kings,Field,Odean Smith
2022,4,2022-03-28,Wankhede Stadium,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,158.0,161.0,Gujarat Titans,Field,Mohammed Shami
2022,5,2022-03-29,"Maharashtra Cricket Association Stadium,Pune",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,210.0,149.0,Sunrisers Hyderabad,Field,Sanju Samson
2022,6,2022-03-30,Dr DY Patil Sports Academy,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,128.0,132.0,Royal Challengers Bengaluru,Field,Wanindu Hasaranga
2022,7,2022-03-31,Brabourne Stadium,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,210.0,211.0,Lucknow Super Giants,Field,Evin Lewis
2022,8,2022-04-01,Wankhede Stadium,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,137.0,141.0,Kolkata Knight Riders,Field,Umesh Yadav
2022,9,2022-04-02,Dr DY Patil Sports Academy,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,193.0,170.0,Mumbai Indians,Field,Jos Buttler
2022,10,2022-04-02,"Maharashtra Cricket Association Stadium,Pune",Delhi Capitals,Gujarat Titans,Gujarat Titans,171.0,157.0,Delhi Capitals,Field,Lockie Ferguson
2022,11,2022-04-03,Brabourne Stadium,Chennai Super Kings,Punjab Kings,Punjab Kings,180.0,126.0,Chennai Super Kings,Field,Liam Livingstone
2022,12,2022-04-04,Dr DY Patil Sports Academy,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,169.0,157.0,Sunrisers Hyderabad,Field,Avesh Khan
2022,13,2022-04-05,Wankhede Stadium,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,169.0,173.0,Royal Challengers Bengaluru,Field,Dinesh Karthik
2022,14,2022-04-06,"Maharashtra Cricket Association Stadium,Pune",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,161.0,162.0,Kolkata Knight Riders,Field,Pat Cummins
2022,15,2022-04-07,Dr DY Patil Sports Academy,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,149.0,155.0,Lucknow Super Giants,Field,Quinton de Kock
2022,16,2022-04-08,Brabourne Stadium,Gujarat Titans,Punjab Kings,Gujarat Titans,189.0,190.0,Gujarat Titans,Field,Shubman Gill
2022,17,2022-04-09,Dr DY Patil Sports Academy,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,154.0,155.0,Sunrisers Hyderabad,Field,Abhishek Sharma
2022,18,2022-04-09,"Maharashtra Cricket Association Stadium,Pune",Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,151.0,152.0,Royal Challengers Bengaluru,Field,Anuj Rawat
2022,19,2022-04-10,Brabourne Stadium,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,215.0,171.0,Kolkata Knight Riders,Field,Kuldeep Yadav
2022,20,2022-04-10,Wankhede Stadium,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,165.0,162.0,Lucknow Super Giants,Field,Yuzvendra Chahal
