match_no,date,batting_team,striker,venue,runs,balls,fours,sixes,dismissed,sr
1,2026-03-28,RCB,Devdutt Padikkal,M. Chinnaswamy Stadium,61,26,7,4,1,234.62
1,2026-03-28,RCB,Jitesh Sharma,M. Chinnaswamy Stadium,0,1,0,0,1,0.0
1,2026-03-28,RCB,Phil Salt,M. Chinnaswamy Stadium,8,7,2,0,1,114.29
1,2026-03-28,RCB,Rajat Patidar,M. Chinnaswamy Stadium,31,12,2,3,1,258.33
1,2026-03-28,RCB,Tim David,M. Chinnaswamy Stadium,16,10,1,1,0,160.0
1,2026-03-28,RCB,Virat Kohli,M. Chinnaswamy Stadium,69,39,5,5,1,176.92
1,2026-03-28,SRH,Abhishek Sharma,M. Chinnaswamy Stadium,7,8,0,1,1,87.5
1,2026-03-28,SRH,Aniket Verma,M. Chinnaswamy Stadium,43,18,3,4,1,238.89
1,2026-03-28,SRH,David Payne,M. Chinnaswamy Stadium,6,5,0,0,0,120.0
1,2026-03-28,SRH,Harsh Dubey,M. Chinnaswamy Stadium,3,3,0,0,1,100.0
1,2026-03-28,SRH,Harshal Patel,M. Chinnaswamy Stadium,0,2,0,0,1,0.0
1,2026-03-28,SRH,Heinrich Klaasen,M. Chinnaswamy Stadium,31,22,2,1,1,140.91
1,2026-03-28,SRH,Ishan Kishan,M. Chinnaswamy Stadium,81,39,8,5,1,207.69
1,2026-03-28,SRH,Jaydev Unadkat,M. Chinnaswamy Stadium,4,3,0,0,0,133.33
1,2026-03-28,SRH,Nitish Reddy,M. Chinnaswamy Stadium,1,6,0,0,1,16.67
1,2026-03-28,SRH,Salil Arora,M. Chinnaswamy Stadium,9,6,0,1,1,150.0
1,2026-03-28,SRH,Travis Head,M. Chinnaswamy Stadium,11,9,2,0,1,122.22
2,2026-03-29,KKR,Ajinkya Rahane,Wankhede Stadium,67,40,3,5,1,167.5
2,2026-03-29,KKR,Angkrish Raghuvanshi,Wankhede Stadium,51,29,6,2,1,175.86
2,2026-03-29,KKR,Cameron Green,Wankhede Stadium,18,10,1,1,1,180.0
2,2026-03-29,KKR,Finn Allen,Wankhede Stadium,37,17,6,2,1,217.65
2,2026-03-29,KKR,Ramandeep Singh,Wankhede Stadium,4,4,0,0,0,100.0
2,2026-03-29,KKR,Rinku Singh,Wankhede Stadium,33,21,4,0,0,157.14
2,2026-03-29,MI,Hardik Pandya,Wankhede Stadium,18,11,3,0,0,163.64
2,2026-03-29,MI,Naman Dhir,Wankhede Stadium,5,2,1,0,0,250.0
2,2026-03-29,MI,Rohit Sharma,Wankhede Stadium,78,38,6,6,1,205.26
2,2026-03-29,MI,Ryan Rickelton,Wankhede Stadium,81,43,4,8,1,188.37
2,2026-03-29,MI,Suryakumar Yadav,Wankhede Stadium,16,8,3,0,1,200.0
2,2026-03-29,MI,Tilak Varma,Wankhede Stadium,20,14,4,0,1,142.86
3,2026-03-30,CSK,Anshul Kamboj,Barsapara Stadium,8,10,1,0,0,80.0
3,2026-03-30,CSK,Ayush Mhatre,Barsapara Stadium,0,1,0,0,1,0.0
3,2026-03-30,CSK,Jamie Overton,Barsapara Stadium,43,36,2,2,1,119.44
3,2026-03-30,CSK,Kartik Sharma,Barsapara Stadium,18,15,0,1,1,120.0
3,2026-03-30,CSK,Matt Henry,Barsapara Stadium,5,7,1,0,1,71.43
3,2026-03-30,CSK,Matthew Short,Barsapara Stadium,2,7,0,0,1,28.57
3,2026-03-30,CSK,Noor Ahmad,Barsapara Stadium,1,9,0,0,1,11.11
3,2026-03-30,CSK,Ruturaj Gaikwad,Barsapara Stadium,6,11,1,0,1,54.55
3,2026-03-30,CSK,Sanju Samson,Barsapara Stadium,6,7,1,0,1,85.71
3,2026-03-30,CSK,Sarfaraz Khan,Barsapara Stadium,17,12,2,1,1,141.67
3,2026-03-30,CSK,Shivam Dube,Barsapara Stadium,6,4,0,1,1,150.0
3,2026-03-30,RR,Dhruv Jurel,Barsapara Stadium,18,9,4,0,1,200.0
3,2026-03-30,RR,Riyan Parag,Barsapara Stadium,14,11,1,1,0,127.27
3,2026-03-30,RR,Vaibhav Sooryavanshi,Barsapara Stadium,52,17,4,5,1,305.88
3,2026-03-30,RR,Yashasvi Jaiswal,Barsapara Stadium,38,36,3,1,0,105.56
