match_no,date,bowling_team,bowler,venue,runs_given,legal_balls,wickets,wides,overs,economy
1,2026-03-28,RCB,Abhinandan Singh,M. Chinnaswamy Stadium,38,18,1,0,3.0,12.67
1,2026-03-28,RCB,Bhuvneshwar Kumar,M. Chinnaswamy Stadium,33,24,1,2,4.0,8.25
1,2026-03-28,RCB,Jacob Duffy,M. Chinnaswamy Stadium,23,24,4,2,4.0,5.75
1,2026-03-28,RCB,Krunal Pandya,M. Chinnaswamy Stadium,27,13,1,0,2.17,12.44
1,2026-03-28,RCB,Romario Shepherd,M. Chinnaswamy Stadium,54,24,3,1,4.0,13.5
1,2026-03-28,RCB,Suyash Sharma,M. Chinnaswamy Stadium,28,18,1,0,3.0,9.33
1,2026-03-28,SRH,David Payne,M. Chinnaswamy Stadium,35,18,2,1,3.0,11.67
1,2026-03-28,SRH,Eshan Malinga,M. Chinnaswamy Stadium,35,12,0,4,2.0,17.5
1,2026-03-28,SRH,Harsh Dubey,M. Chinnaswamy Stadium,35,18,1,0,3.0,11.67
1,2026-03-28,SRH,Harshal Patel,M. Chinnaswamy Stadium,43,17,1,1,2.83,15.19
1,2026-03-28,SRH,Jaydev Unadkat,M. Chinnaswamy Stadium,34,18,1,1,3.0,11.33
1,2026-03-28,SRH,Nitish Reddy,M. Chinnaswamy Stadium,21,12,0,0,2.0,10.5
2,2026-03-29,KKR,Anukul Roy,Wankhede Stadium,15,7,0,1,1.17,12.82
2,2026-03-29,KKR,Blessing Muzarabani,Wankhede Stadium,34,18,1,0,3.0,11.33
2,2026-03-29,KKR,Kartik Tyagi,Wankhede Stadium,44,25,1,0,4.17,10.55
2,2026-03-29,KKR,Sunil Narine,Wankhede Stadium,30,18,1,0,3.0,10.0
2,2026-03-29,KKR,Vaibhav Arora,Wankhede Stadium,53,24,1,1,4.0,13.25
2,2026-03-29,KKR,Varun Chakaravarthy,Wankhede Stadium,48,24,0,1,4.0,12.0
2,2026-03-29,MI,AM Ghazanfar,Wankhede Stadium,52,24,0,1,4.0,13.0
2,2026-03-29,MI,Hardik Pandya,Wankhede Stadium,40,18,1,2,3.0,13.33
2,2026-03-29,MI,Jasprit Bumrah,Wankhede Stadium,35,25,0,1,4.17,8.39
2,2026-03-29,MI,Mayank Markande,Wankhede Stadium,16,6,0,0,1.0,16.0
2,2026-03-29,MI,Shardul Thakur,Wankhede Stadium,39,24,3,0,4.0,9.75
2,2026-03-29,MI,Trent Boult,Wankhede Stadium,38,24,0,3,4.0,9.5
3,2026-03-30,CSK,Anshul Kamboj,Barsapara Stadium,27,18,2,0,3.0,9.0
3,2026-03-30,CSK,Jamie Overton,Barsapara Stadium,14,6,0,0,1.0,14.0
3,2026-03-30,CSK,Khaleel Ahmed,Barsapara Stadium,18,18,0,0,3.0,6.0
3,2026-03-30,CSK,Matt Henry,Barsapara Stadium,40,18,0,1,3.0,13.33
3,2026-03-30,CSK,Matthew Short,Barsapara Stadium,1,1,0,0,0.17,5.88
3,2026-03-30,CSK,Noor Ahmad,Barsapara Stadium,28,12,0,0,2.0,14.0
3,2026-03-30,RR,Brijesh Sharma,Barsapara Stadium,17,18,1,2,3.0,5.67
3,2026-03-30,RR,Jofra Archer,Barsapara Stadium,20,24,2,1,4.0,5.0
3,2026-03-30,RR,Nandre Burger,Barsapara Stadium,33,25,2,3,4.17,7.91
