bowler,bowling_team,matches,innings,total_wickets,total_runs,total_legal_balls,overs,economy,avg
AM Ghazanfar,MI,11,11,15,390,233,38.83,10.04,26.0
Abdul Samad,LSG,1,1,0,6,1,0.17,35.29,999.0
Abhinandan Singh,RCB,3,3,3,122,58,9.67,12.62,40.67
Abhishek Sharma,SRH,4,4,0,49,29,4.83,10.14,999.0
Adam Milne,RR,1,1,0,42,20,3.33,12.61,999.0
Aiden Markram,LSG,5,5,0,82,36,6.0,13.67,999.0
Akash Singh,LSG,2,2,4,79,42,7.0,11.29,19.75
Akeal Hosein,CSK,7,7,9,198,150,25.0,7.92,22.0
Anrich Nortje,LSG,1,1,0,39,24,4.0,9.75,999.0
Anshul Kamboj,CSK,14,14,24,532,306,51.0,10.43,22.17
Anukul Roy,KKR,12,12,8,264,163,27.17,9.72,33.0
Arjun Tendulkar,LSG,1,1,1,36,24,4.0,9.0,36.0
Arshad Khan,GT,6,6,8,172,104,17.33,9.92,21.5
Arshdeep Singh,PBKS,14,14,14,539,319,53.17,10.14,38.5
Ashok Sharma,GT,6,6,6,233,127,21.17,11.01,38.83
Ashwani Kumar,MI,3,3,6,102,60,10.0,10.2,17.0
Auqib Nabi,DC,5,5,0,151,81,13.5,11.19,999.0
Avesh Khan,LSG,7,7,6,278,148,24.67,11.27,46.33
Axar Patel,DC,13,13,11,365,264,44.0,8.3,33.18
Ayush Badoni,LSG,1,1,0,14,6,1.0,14.0,999.0
Azmatullah Omarzai,PBKS,3,3,3,103,66,11.0,9.36,34.33
Ben Dwarshuis,PBKS,1,1,2,51,24,4.0,12.75,25.5
Bhuvneshwar Kumar,RCB,16,16,29,504,379,63.17,7.98,17.38
Bishnoi,RR,1,1,0,6,1,0.17,35.29,999.0
Blessing Muzarabani,KKR,2,2,5,79,42,7.0,11.29,15.8
Brijesh Sharma,RR,13,13,14,452,277,46.17,9.79,32.29
Cameron Green,KKR,10,10,7,240,133,22.17,10.83,34.29
Corbin Bosch,MI,6,6,13,197,123,20.5,9.61,15.15
Dasun Shanaka,RR,3,3,1,62,36,6.0,10.33,62.0
David Payne,SRH,2,2,2,70,30,5.0,14.0,35.0
Deepak Chahar,MI,8,8,8,269,153,25.5,10.55,33.62
Digvesh Singh Rathi,LSG,10,10,5,399,234,39.0,10.23,79.8
Dilshan Madushanka,SRH,1,1,1,35,24,4.0,8.75,35.0
Donovan Ferreira,RR,3,3,1,41,18,3.0,13.67,41.0
Dushmantha Chameera,DC,1,1,0,18,12,2.0,9.0,999.0
Eshan Malinga,SRH,15,15,21,508,326,54.33,9.35,24.19
George Linde,LSG,3,3,1,55,37,6.17,8.91,55.0
Gurjapneet Singh,CSK,8,8,4,232,151,25.17,9.22,58.0
Hardik Pandya,MI,9,9,4,259,138,23.0,11.26,64.75
