striker,bowler,balls,runs,dismissals,sr,dismissal_rate
Abdul Samad,Arshdeep Singh,6,14,0,233.33,0.0
Abdul Samad,Eshan Malinga,8,13,0,162.5,0.0
Abdul Samad,Kuldeep Yadav,6,5,0,83.33,0.0
Abdul Samad,Marco Jansen,6,9,0,150.0,0.0
Abdul Samad,Natarajan,9,20,1,222.22,11.11
Abdul Samad,Rashid Khan,9,4,0,44.44,0.0
Abhishek Sharma,Arshdeep Singh,13,34,0,261.54,0.0
Abhishek Sharma,Bhuvneshwar Kumar,10,17,0,170.0,0.0
Abhishek Sharma,Brijesh Sharma,6,13,0,216.67,0.0
Abhishek Sharma,Jasprit Bumrah,7,14,0,200.0,0.0
Abhishek Sharma,Lungi Ngidi,17,22,0,129.41,0.0
Abhishek Sharma,Marco Jansen,6,21,0,350.0,0.0
Abhishek Sharma,Matthew Short,10,33,0,330.0,0.0
Abhishek Sharma,Mukesh Choudhary,13,25,0,192.31,0.0
Abhishek Sharma,Mukesh Kumar,11,23,0,209.09,0.0
Abhishek Sharma,Nandre Burger,12,22,0,183.33,0.0
Abhishek Sharma,Natarajan,15,24,0,160.0,0.0
Abhishek Sharma,Nitish Rana,15,43,1,286.67,6.67
Abhishek Sharma,Noor Ahmad,8,9,0,112.5,0.0
Abhishek Sharma,Sunil Narine,14,23,0,164.29,0.0
Abhishek Sharma,Varun Chakaravarthy,6,24,0,400.0,0.0
Abhishek Sharma,Vijaykumar Vyshak,6,24,0,400.0,0.0
Abhishek Sharma,Xavier Bartlett,7,16,0,228.57,0.0
Abishek Porel,Brijesh Sharma,9,19,1,211.11,11.11
Abishek Porel,Dasun Shanaka,6,9,0,150.0,0.0
Abishek Porel,Jofra Archer,7,12,0,171.43,0.0
Abishek Porel,Josh Hazlewood,8,5,1,62.5,12.5
Abishek Porel,Krunal Pandya,8,6,0,75.0,0.0
Abishek Porel,Saurabh Dubey,7,0,1,0.0,14.29
Abishek Porel,Suyash Sharma,6,3,0,50.0,0.0
Aiden Markram,Anukul Roy,10,11,0,110.0,0.0
Aiden Markram,Axar Patel,6,11,1,183.33,16.67
Aiden Markram,Harsh Dubey,8,7,0,87.5,0.0
Aiden Markram,Jaydev Unadkat,9,21,0,233.33,0.0
Aiden Markram,Mohammed Siraj,8,4,0,50.0,0.0
Aiden Markram,Raghu Sharma,10,16,0,160.0,0.0
Aiden Markram,Sunil Narine,7,5,1,71.43,14.29
Aiden Markram,Vaibhav Arora,10,8,1,80.0,10.0
Aiden Markram,Varun Chakaravarthy,6,9,0,150.0,0.0
Aiden Markram,Xavier Bartlett,7,23,0,328.57,0.0
Ajinkya Rahane,AM Ghazanfar,9,14,0,155.56,0.0
Ajinkya Rahane,Abhishek Sharma,9,13,0,144.44,0.0
Ajinkya Rahane,Auqib Nabi,8,18,0,225.0,0.0
Ajinkya Rahane,Axar Patel,15,24,0,160.0,0.0
Ajinkya Rahane,Bhuvneshwar Kumar,7,5,0,71.43,0.0
Ajinkya Rahane,Deepak Chahar,8,7,0,87.5,0.0
Ajinkya Rahane,Digvesh Singh Rathi,11,17,1,154.55,9.09
Ajinkya Rahane,Eshan Malinga,7,9,0,128.57,0.0
Ajinkya Rahane,Harshal Patel,6,8,0,133.33,0.0
Ajinkya Rahane,Jasprit Bumrah,14,19,0,135.71,0.0
Ajinkya Rahane,Kagiso Rabada,8,8,0,100.0,0.0
Ajinkya Rahane,Kuldeep Yadav,8,12,1,150.0,12.5
Ajinkya Rahane,Mitchell Starc,11,13,0,118.18,0.0
Ajinkya Rahane,Mohammed Shami,12,14,0,116.67,0.0
Ajinkya Rahane,Mohammed Siraj,7,6,2,85.71,28.57
Ajinkya Rahane,Noor Ahmad,6,6,1,100.0,16.67
Ajinkya Rahane,Sakib Hussain,6,3,1,50.0,16.67
Ajinkya Rahane,Shardul Thakur,6,10,1,166.67,16.67
Ajinkya Rahane,Shivang Kumar,8,9,0,112.5,0.0
Ajinkya Rahane,Trent Boult,11,13,0,118.18,0.0
Akshat Raghuwanshi,Akeal Hosein,8,7,1,87.5,12.5
Angkrish Raghuvanshi,Abhishek Sharma,7,14,0,200.0,0.0
Angkrish Raghuvanshi,Akeal Hosein,11,15,1,136.36,9.09
Angkrish Raghuvanshi,Avesh Khan,9,22,0,244.44,0.0
Angkrish Raghuvanshi,Bhuvneshwar Kumar,6,6,0,100.0,0.0
Angkrish Raghuvanshi,Eshan Malinga,15,25,1,166.67,6.67
Angkrish Raghuvanshi,Harsh Dubey,6,7,0,116.67,0.0
Angkrish Raghuvanshi,Harshal Patel,6,8,0,133.33,0.0
Angkrish Raghuvanshi,Jacob Duffy,9,18,0,200.0,0.0
Angkrish Raghuvanshi,Jason Holder,13,17,0,130.77,0.0
Angkrish Raghuvanshi,Jasprit Bumrah,7,8,0,114.29,0.0
Angkrish Raghuvanshi,Jaydev Unadkat,7,16,0,228.57,0.0
Angkrish Raghuvanshi,Jofra Archer,7,5,0,71.43,0.0
Angkrish Raghuvanshi,Josh Hazlewood,7,8,0,114.29,0.0
Angkrish Raghuvanshi,Kagiso Rabada,8,12,1,150.0,12.5
Angkrish Raghuvanshi,Krunal Pandya,13,19,0,146.15,0.0
Angkrish Raghuvanshi,Manimaran Siddharth,9,8,1,88.89,11.11
Angkrish Raghuvanshi,Mohammed Shami,8,7,0,87.5,0.0
Angkrish Raghuvanshi,Mohammed Siraj,11,29,0,263.64,0.0
Angkrish Raghuvanshi,Pat Cummins,8,9,0,112.5,0.0
Angkrish Raghuvanshi,Prince Yadav,8,8,1,100.0,12.5
Angkrish Raghuvanshi,Rashid Khan,9,19,0,211.11,0.0
Angkrish Raghuvanshi,Rasikh Salam Dar,11,20,0,181.82,0.0
Angkrish Raghuvanshi,Sai Kishore,7,13,0,185.71,0.0
Angkrish Raghuvanshi,Sakib Hussain,6,5,0,83.33,0.0
Angkrish Raghuvanshi,Shardul Thakur,8,15,0,187.5,0.0
Angkrish Raghuvanshi,Shivang Kumar,19,25,1,131.58,5.26
Angkrish Raghuvanshi,Trent Boult,8,14,0,175.0,0.0
Aniket Verma,Romario Shepherd,8,24,1,300.0,12.5
Aniket Verma,Varun Chakaravarthy,6,5,1,83.33,16.67
Anukul Roy,Jofra Archer,6,11,0,183.33,0.0
Arshin Kulkarni,Bhuvneshwar Kumar,9,7,0,77.78,0.0
Arshin Kulkarni,Krunal Pandya,7,2,1,28.57,14.29
Arshin Kulkarni,Suyash Sharma,7,8,0,114.29,0.0
Ashutosh Sharma,Brijesh Sharma,9,20,0,222.22,0.0
Ashutosh Sharma,Eshan Malinga,6,7,1,116.67,16.67
Ashutosh Sharma,Kartik Tyagi,13,19,1,146.15,7.69
Ashutosh Sharma,Sunil Narine,6,1,0,16.67,0.0
Ashutosh Sharma,Varun Chakaravarthy,8,17,0,212.5,0.0
Axar Patel,Ben Dwarshuis,7,17,1,242.86,14.29
Axar Patel,Bhuvneshwar Kumar,6,2,1,33.33,16.67
Axar Patel,Gurjapneet Singh,6,2,2,33.33,33.33
Axar Patel,Kartik Tyagi,11,14,0,127.27,0.0
Axar Patel,Krunal Pandya,7,9,0,128.57,0.0
Axar Patel,Marco Jansen,11,21,0,190.91,0.0
Axar Patel,Marcus Stoinis,8,14,1,175.0,12.5
Axar Patel,Sunil Narine,13,7,0,53.85,0.0
Axar Patel,Varun Chakaravarthy,13,18,1,138.46,7.69
Ayush Badoni,Anukul Roy,11,22,1,200.0,9.09
Ayush Badoni,Arshdeep Singh,7,8,0,114.29,0.0
Ayush Badoni,Azmatullah Omarzai,9,24,0,266.67,0.0
Ayush Badoni,Kartik Tyagi,10,18,0,180.0,0.0
Ayush Badoni,Krunal Pandya,8,12,0,150.0,0.0
Ayush Badoni,Marco Jansen,11,28,0,254.55,0.0
Ayush Badoni,Navdeep Saini,6,15,0,250.0,0.0
Ayush Badoni,Sunil Narine,18,12,0,66.67,0.0
Ayush Badoni,Suyash Sharma,11,17,0,154.55,0.0
Ayush Mhatre,Anukul Roy,6,6,0,100.0,0.0
Ayush Mhatre,Axar Patel,9,13,0,144.44,0.0
Ayush Mhatre,Kuldeep Yadav,6,14,0,233.33,0.0
Ayush Mhatre,Lungi Ngidi,9,14,0,155.56,0.0
Ayush Mhatre,Marco Jansen,10,14,0,140.0,0.0
Ayush Mhatre,Natarajan,7,15,0,214.29,0.0
Ayush Mhatre,Praful Hinge,6,22,0,366.67,0.0
Ayush Mhatre,Vaibhav Arora,6,12,1,200.0,16.67
Ayush Mhatre,Vijaykumar Vyshak,10,18,1,180.0,10.0
Ayush Mhatre,Yuzvendra Chahal,9,8,0,88.89,0.0
Azmatullah Omarzai,Josh Hazlewood,7,7,0,100.0,0.0
Azmatullah Omarzai,Shardul Thakur,6,11,0,183.33,0.0
Cameron Green,AM Ghazanfar,9,6,0,66.67,0.0
Cameron Green,Ashok Sharma,11,21,0,190.91,0.0
Cameron Green,Axar Patel,9,11,0,122.22,0.0
Cameron Green,Digvesh Singh Rathi,13,8,0,61.54,0.0
Cameron Green,Kagiso Rabada,9,9,0,100.0,0.0
Cameron Green,Krunal Pandya,9,16,0,177.78,0.0
Cameron Green,Kuldeep Yadav,6,10,1,166.67,16.67
Cameron Green,Lungi Ngidi,7,5,0,71.43,0.0
Cameron Green,Mohammed Siraj,8,6,0,75.0,0.0
Cameron Green,Mohsin Khan,6,9,1,150.0,16.67
Cameron Green,Nandre Burger,7,18,0,257.14,0.0
Cameron Green,Prasidh Krishna,13,18,0,138.46,0.0
Cameron Green,Prince Yadav,8,15,0,187.5,0.0
Cameron Green,Rashid Khan,29,54,1,186.21,3.45
Cameron Green,Rasikh Salam Dar,8,8,1,100.0,12.5
Cameron Green,Sai Kishore,8,18,0,225.0,0.0
Cooper Connolly,AM Ghazanfar,7,6,1,85.71,14.29
Cooper Connolly,Eshan Malinga,15,26,0,173.33,0.0
Cooper Connolly,Harsh Dubey,10,26,0,260.0,0.0
Cooper Connolly,Josh Hazlewood,6,11,0,183.33,0.0
Cooper Connolly,Kagiso Rabada,9,19,0,211.11,0.0
Cooper Connolly,Kuldeep Yadav,6,8,1,133.33,16.67
Cooper Connolly,Lungi Ngidi,6,13,0,216.67,0.0
Cooper Connolly,Madhav Tiwari,6,7,1,116.67,16.67
Cooper Connolly,Mitchell Starc,9,13,0,144.44,0.0
Cooper Connolly,Mohammed Shami,17,34,1,200.0,5.88
Cooper Connolly,Mohsin Khan,9,6,0,66.67,0.0
Cooper Connolly,Mukesh Kumar,6,5,0,83.33,0.0
Cooper Connolly,Nitish Reddy,6,5,0,83.33,0.0
Cooper Connolly,Noor Ahmad,9,15,0,166.67,0.0
Cooper Connolly,Pat Cummins,12,21,0,175.0,0.0
Cooper Connolly,Prasidh Krishna,6,8,0,133.33,0.0
Cooper Connolly,Prince Yadav,15,20,1,133.33,6.67
Cooper Connolly,Raghu Sharma,6,8,0,133.33,0.0
Cooper Connolly,Rahul Chahar,7,12,0,171.43,0.0
Cooper Connolly,Rashid Khan,12,22,0,183.33,0.0
Cooper Connolly,Rasikh Salam Dar,6,11,0,183.33,0.0
Cooper Connolly,Sakib Hussain,12,17,0,141.67,0.0
Cooper Connolly,Shivang Kumar,16,23,1,143.75,6.25
Cooper Connolly,Washington Sundar,8,8,0,100.0,0.0
Cooper Connolly,Will Jacks,6,8,0,133.33,0.0
Corbin Bosch,Kartik Tyagi,9,26,0,288.89,0.0
Dasun Shanaka,Jason Holder,9,3,2,33.33,22.22
Dasun Shanaka,Raghu Sharma,7,10,0,142.86,0.0
David Miller,Ben Dwarshuis,10,21,1,210.0,10.0
David Miller,Bhuvneshwar Kumar,8,4,0,50.0,0.0
