striker,venue,runs,balls,innings,sr,avg
AM Ghazanfar,Wankhede Stadium,2,3,1,66.67,2.0
Abdul Samad,Ekana Cricket Stadium,98,70,4,140.0,24.5
Abdul Samad,Eden Gardens,2,4,1,50.0,2.0
Abdul Samad,M. Chinnaswamy Stadium,0,2,1,0.0,0.0
Abdul Samad,Rajiv Gandhi International Stadium,16,12,1,133.33,16.0
Abhishek Sharma,Eden Gardens,48,21,1,228.57,48.0
Abhishek Sharma,M. Chinnaswamy Stadium,7,8,1,87.5,7.0
Abhishek Sharma,MA Chidambaram Stadium,26,21,1,123.81,26.0
Abhishek Sharma,New PCA Cricket Stadium,74,30,2,246.67,37.0
Abhishek Sharma,Narendra Modi Stadium,6,4,1,150.0,6.0
Abhishek Sharma,Rajiv Gandhi International Stadium,300,138,7,217.39,42.86
Abhishek Sharma,Sawai Mansingh Stadium,57,29,1,196.55,57.0
Abhishek Sharma,Wankhede Stadium,45,24,1,187.5,45.0
Abishek Porel,Arun Jaitley Stadium,81,64,2,126.56,40.5
Abishek Porel,Eden Gardens,22,18,1,122.22,22.0
Abishek Porel,HPCA Stadium,5,6,1,83.33,5.0
Adam Milne,Arun Jaitley Stadium,2,2,1,100.0,2.0
Aiden Markram,Ekana Cricket Stadium,73,64,5,114.06,14.6
Aiden Markram,Eden Gardens,22,15,1,146.67,22.0
Aiden Markram,M. Chinnaswamy Stadium,12,8,1,150.0,12.0
Aiden Markram,MA Chidambaram Stadium,6,7,1,85.71,6.0
Aiden Markram,New PCA Cricket Stadium,42,22,1,190.91,42.0
Aiden Markram,Rajiv Gandhi International Stadium,45,27,1,166.67,45.0
Aiden Markram,Wankhede Stadium,31,25,1,124.0,31.0
Ajinkya Rahane,Arun Jaitley Stadium,13,9,1,144.44,13.0
Ajinkya Rahane,Ekana Cricket Stadium,10,15,1,66.67,10.0
Ajinkya Rahane,Eden Gardens,155,112,7,138.39,22.14
Ajinkya Rahane,MA Chidambaram Stadium,28,22,1,127.27,28.0
Ajinkya Rahane,Narendra Modi Stadium,0,1,1,0.0,0.0
Ajinkya Rahane,Rajiv Gandhi International Stadium,43,36,1,119.44,43.0
Ajinkya Rahane,Shaheed Veer Narayan Singh Stadium,19,13,1,146.15,19.0
Ajinkya Rahane,Wankhede Stadium,67,40,1,167.5,67.0
Akeal Hosein,MA Chidambaram Stadium,3,1,1,300.0,3.0
Akeal Hosein,Wankhede Stadium,2,2,1,100.0,2.0
Akshat Raghuwanshi,MA Chidambaram Stadium,18,18,1,100.0,18.0
Akshat Raghuwanshi,Wankhede Stadium,11,7,1,157.14,11.0
Angkrish Raghuvanshi,Arun Jaitley Stadium,1,3,1,33.33,1.0
Angkrish Raghuvanshi,Ekana Cricket Stadium,9,8,1,112.5,9.0
Angkrish Raghuvanshi,Eden Gardens,196,131,5,149.62,39.2
Angkrish Raghuvanshi,MA Chidambaram Stadium,27,19,1,142.11,27.0
Angkrish Raghuvanshi,Narendra Modi Stadium,8,4,1,200.0,8.0
Angkrish Raghuvanshi,Rajiv Gandhi International Stadium,59,47,1,125.53,59.0
Angkrish Raghuvanshi,Shaheed Veer Narayan Singh Stadium,71,46,1,154.35,71.0
Angkrish Raghuvanshi,Wankhede Stadium,51,29,1,175.86,51.0
Aniket Verma,Eden Gardens,1,4,1,25.0,1.0
Aniket Verma,M. Chinnaswamy Stadium,43,18,1,238.89,43.0
Aniket Verma,New PCA Cricket Stadium,18,9,1,200.0,18.0
Aniket Verma,Rajiv Gandhi International Stadium,16,22,4,72.73,4.0
Aniket Verma,Sawai Mansingh Stadium,1,1,1,100.0,1.0
Anrich Nortje,Ekana Cricket Stadium,0,1,1,0.0,0.0
Anshul Kamboj,Barsapara Stadium,8,10,1,80.0,8.0
Anshul Kamboj,M. Chinnaswamy Stadium,19,12,1,158.33,19.0
Anshul Kamboj,Narendra Modi Stadium,19,8,1,237.5,19.0
Anshul Kamboj,Rajiv Gandhi International Stadium,13,8,1,162.5,13.0
Anukul Roy,Ekana Cricket Stadium,0,1,1,0.0,0.0
Anukul Roy,Eden Gardens,42,30,4,140.0,10.5
Anukul Roy,MA Chidambaram Stadium,1,1,1,100.0,1.0
Anukul Roy,Narendra Modi Stadium,9,7,1,128.57,9.0
Arjun Tendulkar,Ekana Cricket Stadium,5,5,1,100.0,5.0
Arshad Khan,Narendra Modi Stadium,23,11,2,209.09,11.5
Arshdeep Singh,Narendra Modi Stadium,1,1,1,100.0,1.0
Arshin Kulkarni,Ekana Cricket Stadium,17,25,2,68.0,8.5
Ashok Sharma,Narendra Modi Stadium,1,4,2,25.0,0.5
Ashutosh Sharma,Arun Jaitley Stadium,71,38,3,186.84,23.67
Ashutosh Sharma,Eden Gardens,18,11,1,163.64,18.0
Ashutosh Sharma,HPCA Stadium,24,10,1,240.0,24.0
Ashutosh Sharma,MA Chidambaram Stadium,19,10,1,190.0,19.0
Ashutosh Sharma,Rajiv Gandhi International Stadium,14,10,1,140.0,14.0
Ashutosh Sharma,Sawai Mansingh Stadium,25,15,1,166.67,25.0
Ashwani Kumar,Wankhede Stadium,1,6,1,16.67,1.0
Auqib Nabi,HPCA Stadium,10,2,1,500.0,10.0
Auqib Nabi,MA Chidambaram Stadium,4,2,1,200.0,4.0
Avesh Khan,Ekana Cricket Stadium,4,1,1,400.0,4.0
Avesh Khan,Eden Gardens,1,3,1,33.33,1.0
Avesh Khan,M. Chinnaswamy Stadium,1,2,1,50.0,1.0
Axar Patel,Arun Jaitley Stadium,49,52,5,94.23,9.8
Axar Patel,Ekana Cricket Stadium,0,1,1,0.0,0.0
Axar Patel,Eden Gardens,39,25,1,156.0,39.0
Axar Patel,HPCA Stadium,56,30,1,186.67,56.0
Axar Patel,M. Chinnaswamy Stadium,26,19,1,136.84,26.0
Axar Patel,MA Chidambaram Stadium,1,2,1,50.0,1.0
Axar Patel,Rajiv Gandhi International Stadium,2,3,1,66.67,2.0
Ayush Badoni,Ekana Cricket Stadium,76,52,5,146.15,15.2
Ayush Badoni,Eden Gardens,54,34,1,158.82,54.0
Ayush Badoni,M. Chinnaswamy Stadium,38,24,1,158.33,38.0
Ayush Badoni,New PCA Cricket Stadium,35,21,1,166.67,35.0
Ayush Badoni,Rajiv Gandhi International Stadium,12,9,1,133.33,12.0
Ayush Badoni,Sawai Mansingh Stadium,0,1,1,0.0,0.0
Ayush Mhatre,Barsapara Stadium,0,1,1,0.0,0.0
Ayush Mhatre,M. Chinnaswamy Stadium,1,3,1,33.33,1.0
Ayush Mhatre,MA Chidambaram Stadium,170,96,3,177.08,56.67
Ayush Mhatre,Rajiv Gandhi International Stadium,30,13,1,230.77,30.0
Azmatullah Omarzai,HPCA Stadium,52,27,2,192.59,26.0
Bhuvneshwar Kumar,Barsapara Stadium,9,7,1,128.57,9.0
Bhuvneshwar Kumar,M. Chinnaswamy Stadium,3,2,1,150.0,3.0
Bhuvneshwar Kumar,Narendra Modi Stadium,15,15,1,100.0,15.0
Bhuvneshwar Kumar,Shaheed Veer Narayan Singh Stadium,7,2,1,350.0,7.0
Brijesh Sharma,Eden Gardens,1,3,1,33.33,1.0
Brijesh Sharma,Sawai Mansingh Stadium,1,1,1,100.0,1.0
Cameron Green,Arun Jaitley Stadium,33,27,1,122.22,33.0
Cameron Green,Ekana Cricket Stadium,34,21,1,161.9,34.0
Cameron Green,Eden Gardens,123,80,7,153.75,17.57
Cameron Green,MA Chidambaram Stadium,0,1,1,0.0,0.0
Cameron Green,Narendra Modi Stadium,79,55,1,143.64,79.0
Cameron Green,Rajiv Gandhi International Stadium,3,3,1,100.0,3.0
Cameron Green,Shaheed Veer Narayan Singh Stadium,32,24,1,133.33,32.0
Cameron Green,Wankhede Stadium,18,10,1,180.0,18.0
Cooper Connolly,Arun Jaitley Stadium,17,10,1,170.0,17.0
Cooper Connolly,Ekana Cricket Stadium,18,10,1,180.0,18.0
Cooper Connolly,HPCA Stadium,96,71,3,135.21,32.0
Cooper Connolly,MA Chidambaram Stadium,36,22,1,163.64,36.0
Cooper Connolly,New PCA Cricket Stadium,200,116,4,172.41,50.0
Cooper Connolly,Narendra Modi Stadium,0,1,1,0.0,0.0
Cooper Connolly,Rajiv Gandhi International Stadium,107,59,1,181.36,107.0
Cooper Connolly,Wankhede Stadium,17,12,1,141.67,17.0
Corbin Bosch,Arun Jaitley Stadium,11,4,1,275.0,11.0
Corbin Bosch,Eden Gardens,32,18,1,177.78,32.0
Corbin Bosch,Shaheed Veer Narayan Singh Stadium,5,5,1,100.0,5.0
Corbin Bosch,Wankhede Stadium,2,4,1,50.0,2.0
Danish Malewar,Narendra Modi Stadium,2,4,1,50.0,2.0
