team_no,team_name,player,nationality,role,designation,team_abbrev
1,Mumbai Indians,Hardik Pandya,Indian,All Rounder,Captain,MI
1,Mumbai Indians,Rohit Sharma,Indian,Batter,,MI
1,Mumbai Indians,Suryakumar Yadav,Indian,Batter,,MI
1,Mumbai Indians,Jasprit Bumrah,Indian,Bowler,,MI
1,Mumbai Indians,Ryan Rickelton,Overseas,Wicket Keeper,,MI
1,Mumbai Indians,Sherfane Rutherford,Overseas,Batter,,MI
1,Mumbai Indians,Naman Dhir,Indian,All Rounder,,MI
1,Mumbai Indians,Will Jacks,Overseas,All Rounder,,MI
1,Mumbai Indians,Shardul Thakur,Indian,All Rounder,,MI
1,Mumbai Indians,Trent Boult,Overseas,Bowler,,MI
1,Mumbai Indians,AM Ghazanfar,Overseas,Bowler,,MI
1,Mumbai Indians,Mitchell Santner,Overseas,All Rounder,,MI
1,Mumbai Indians,Tilak Varma,Indian,Batter,,MI
1,Mumbai Indians,Quinton de Kock,Overseas,Wicket Keeper,,MI
1,Mumbai Indians,Robin Minz,Indian,Wicket Keeper,,MI
1,Mumbai Indians,Deepak Chahar,Indian,Bowler,,MI
1,Mumbai Indians,Ashwani Kumar,Indian,Bowler,,MI
1,Mumbai Indians,Mayank Markande,Indian,Bowler,,MI
1,Mumbai Indians,Raj Bawa,Indian,All Rounder,,MI
1,Mumbai Indians,Corbin Bosch,Overseas,All Rounder,,MI
1,Mumbai Indians,Danish Malewar,Indian,Batter,,MI
1,Mumbai Indians,Atharva Ankolekar,Indian,All Rounder,,MI
1,Mumbai Indians,Mayank Rawat,Indian,All Rounder,,MI
1,Mumbai Indians,Raghu Sharma,Indian,Bowler,,MI
1,Mumbai Indians,Mohd Izhar,Indian,Bowler,,MI
2,Chennai Super Kings,Ruturaj Gaikwad,Indian,Batter,Captain,CSK
2,Chennai Super Kings,Dewald Brevis,Overseas,Batter,,CSK
2,Chennai Super Kings,MS Dhoni,Indian,Wicket Keeper,,CSK
2,Chennai Super Kings,Kartik Sharma,Indian,Wicket Keeper,,CSK
2,Chennai Super Kings,Sarfaraz Khan,Indian,Batter,,CSK
2,Chennai Super Kings,Ayush Matre,Indian,Batter,,CSK
2,Chennai Super Kings,Urvil Patel,Indian,Batter,,CSK
2,Chennai Super Kings,Sanju Samson,Indian,Wicket Keeper,,CSK
2,Chennai Super Kings,Aman Khan,Indian,All Rounder,,CSK
2,Chennai Super Kings,Shivam Dubey,Indian,All Rounder,,CSK
2,Chennai Super Kings,Zak Foulkes,Overseas,All Rounder,,CSK
2,Chennai Super Kings,Ramakrishna Ghosh,Indian,All Rounder,,CSK
2,Chennai Super Kings,Anshul Kamboj,Indian,All Rounder,,CSK
2,Chennai Super Kings,Jamie Overton,Overseas,All Rounder,,CSK
2,Chennai Super Kings,Matthew Short,Overseas,All Rounder,,CSK
2,Chennai Super Kings,Prashant Veer,Indian,All Rounder,,CSK
2,Chennai Super Kings,Khaleel Ahmed,Indian,Bowler,,CSK
2,Chennai Super Kings,Rahul Chahar,Indian,Bowler,,CSK
2,Chennai Super Kings,Shreyas Gopal,Indian,Bowler,,CSK
2,Chennai Super Kings,Matt Henry,Overseas,Bowler,,CSK
2,Chennai Super Kings,Gurjapneet Singh,Indian,Bowler,,CSK
2,Chennai Super Kings,Akeal Hosein,Overseas,Bowler,,CSK
2,Chennai Super Kings,Mukesh Choudhary,Indian,Bowler,,CSK
2,Chennai Super Kings,Spencer Johnson,Overseas,Bowler,,CSK
2,Chennai Super Kings,Noor Ahmad ,Overseas,Bowler,,CSK
2,Chennai Super Kings,Nathan Ellis,Overseas,Bowler,,CSK
3,Kolkata Night Riders,Ajinkya Rahane,Indian,Batter,Captain,KKR
3,Kolkata Night Riders,Rinku Singh,Indian,Batter,,KKR
3,Kolkata Night Riders,Finn Allen,Overseas,Batter,,KKR
3,Kolkata Night Riders,Rahul Tripathi,Indian,Batter,,KKR
3,Kolkata Night Riders,Manish Pandey,Indian,Batter,,KKR
3,Kolkata Night Riders,Rovman Powell,Overseas,Batter,,KKR
