team_a,team_b,matches,wins,losses,win_pct
Chennai Super Kings,Delhi Capitals,6,4,2,66.7
Chennai Super Kings,Gujarat Titans,8,2,6,25.0
Chennai Super Kings,Kolkata Knight Riders,7,4,3,57.1
Chennai Super Kings,Lucknow Super Giants,8,3,5,37.5
Chennai Super Kings,Mumbai Indians,9,7,2,77.8
Chennai Super Kings,Punjab Kings,8,1,7,12.5
Chennai Super Kings,Rajasthan Royals,7,1,6,14.3
Chennai Super Kings,Royal Challengers Bengaluru,8,3,5,37.5
Chennai Super Kings,Sunrisers Hyderabad,7,2,5,28.6
Chennai Super Kings,Sunrises Hyderabad,1,1,0,100.0
Delhi Capitals,Chennai Super Kings,6,2,4,33.3
Delhi Capitals,Gujarat Titans,8,3,5,37.5
Delhi Capitals,Kolkata Knight Riders,8,4,4,50.0
Delhi Capitals,Lucknow Super Giants,8,5,3,62.5
Delhi Capitals,Mumbai Indians,8,3,5,37.5
Delhi Capitals,Punjab Kings,7,4,3,57.1
Delhi Capitals,Rajasthan Royals,8,5,3,62.5
Delhi Capitals,Royal Challengers Bengaluru,8,3,5,37.5
Delhi Capitals,Sunriders Hyderabad,1,0,1,0.0
Delhi Capitals,Sunrisers Hyderabad,6,3,3,50.0
Gujarat Titans,Chennai Super Kings,8,6,2,75.0
Gujarat Titans,Delhi Capitals,8,5,3,62.5
Gujarat Titans,Kolkata Knight Riders,6,4,2,66.7
Gujarat Titans,Lucknow Super Giants,8,5,3,62.5
Gujarat Titans,Mumbai Indians,8,4,4,50.0
Gujarat Titans,Punjab Kings,8,4,4,50.0
Gujarat Titans,Rajasthan Royals,11,8,3,72.7
Gujarat Titans,Royal Challengers Bengaluru,9,3,6,33.3
Gujarat Titans,Sunrisers Hyderabad,7,6,1,85.7
Kolkata Knight Riders,Chennai Super Kings,7,3,4,42.9
Kolkata Knight Riders,Delhi Capitals,8,4,4,50.0
Kolkata Knight Riders,Gujarat Titans,6,2,4,33.3
Kolkata Knight Riders,Lucknow Super Giants,7,2,5,28.6
Kolkata Knight Riders,Mumbai Indians,8,5,3,62.5
Kolkata Knight Riders,Punjab Kings,6,2,4,33.3
Kolkata Knight Riders,Rajasthan Royals,7,4,3,57.1
Kolkata Knight Riders,Royal Challengers Bengaluru,7,4,3,57.1
Kolkata Knight Riders,Sunrisers Hyderabad,11,7,4,63.6
Lucknow Super Giants,Chennai Super Kings,8,4,4,50.0
Lucknow Super Giants,Delhi Capitals,8,3,5,37.5
Lucknow Super Giants,Gujarat Titans,8,3,5,37.5
Lucknow Super Giants,Kolkata Knight Riders,7,5,2,71.4
Lucknow Super Giants,Mumbai Indians,8,6,2,75.0
Lucknow Super Giants,Punjab Kings,8,3,5,37.5
Lucknow Super Giants,Rajasthan Royals,8,2,6,25.0
Lucknow Super Giants,Royal Challengers Bengaluru,8,3,5,37.5
Lucknow Super Giants,Sunrisers Hyderabad,7,5,2,71.4
Mumbai Indians,Chennai Super Kings,9,2,7,22.2
Mumbai Indians,Delhi Capitals,8,5,3,62.5
Mumbai Indians,Gujarat Titans,8,4,4,50.0
Mumbai Indians,Kolkata Knight Riders,8,3,5,37.5
Mumbai Indians,Lucknow Super Giants,8,2,6,25.0
Mumbai Indians,Punjab Kings,8,2,6,25.0
Mumbai Indians,Rajasthan Royals,8,3,5,37.5
