venue,phase,runs,balls,run_rate
Arun Jaitley Stadium,Death,520,301,10.37
Arun Jaitley Stadium,Middle,1040,703,8.88
Arun Jaitley Stadium,Powerplay,772,505,9.17
Barsapara Stadium,Death,116,77,9.04
Barsapara Stadium,Middle,368,259,8.53
Barsapara Stadium,Powerplay,393,216,10.92
Ekana Cricket Stadium,Death,590,333,10.63
Ekana Cricket Stadium,Middle,1023,756,8.12
Ekana Cricket Stadium,Powerplay,652,507,7.72
Eden Gardens,Death,549,320,10.29
Eden Gardens,Middle,869,651,8.01
Eden Gardens,Powerplay,678,454,8.96
HPCA Stadium,Death,500,231,12.99
HPCA Stadium,Middle,637,436,8.77
HPCA Stadium,Powerplay,446,291,9.2
M. Chinnaswamy Stadium,Death,401,237,10.15
M. Chinnaswamy Stadium,Middle,900,544,9.93
M. Chinnaswamy Stadium,Powerplay,542,361,9.01
MA Chidambaram Stadium,Death,598,373,9.62
MA Chidambaram Stadium,Middle,1039,758,8.22
MA Chidambaram Stadium,Powerplay,820,508,9.69
New PCA Cricket Stadium,Death,573,335,10.26
New PCA Cricket Stadium,Middle,1036,650,9.56
New PCA Cricket Stadium,Powerplay,824,433,11.42
Narendra Modi Stadium,Death,528,352,9.0
Narendra Modi Stadium,Middle,1200,857,8.4
Narendra Modi Stadium,Powerplay,806,576,8.4
Rajiv Gandhi International Stadium,Death,638,399,9.59
Rajiv Gandhi International Stadium,Middle,1144,758,9.06
Rajiv Gandhi International Stadium,Powerplay,819,506,9.71
Sawai Mansingh Stadium,Death,356,202,10.57
Sawai Mansingh Stadium,Middle,715,431,9.95
Sawai Mansingh Stadium,Powerplay,567,289,11.77
Shaheed Veer Narayan Singh Stadium,Death,176,116,9.1
Shaheed Veer Narayan Singh Stadium,Middle,297,216,8.25
Shaheed Veer Narayan Singh Stadium,Powerplay,208,144,8.67
Wankhede Stadium,Death,647,378,10.27
Wankhede Stadium,Middle,1269,761,10.01
Wankhede Stadium,Powerplay,897,508,10.59
